SampleName                                     LogP_lo   LogP_hi   CosZ_lo   CosZ_hi
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.00      2.50      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.50      2.60      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.60      2.70      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.70      2.80      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.80      2.90      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               2.90      3.00      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.00      3.10      0.84      1.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50     -1.00     -0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50     -0.84     -0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50     -0.64     -0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50     -0.45     -0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50     -0.22      0.00
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50      0.00      0.22
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50      0.22      0.45
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50      0.45      0.64
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50      0.64      0.84
sk1-3_fc_subgev_1ring_elike_0decaye               3.10      3.50      0.84      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.50      2.90     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               2.90      3.20     -1.00      1.00
sk1-3_fc_subgev_1ring_elike_1decaye               3.20      4.00     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              2.00      3.00     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              3.00      3.50     -1.00      1.00
sk1-5_fc_1ring_ncpi0                              3.50      4.00     -1.00      1.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50     -1.00     -0.84
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50     -0.84     -0.64
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50     -0.64     -0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50     -0.45     -0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50     -0.22      0.00
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50      0.00      0.22
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50      0.22      0.45
sk1-3_fc_subgev_1ring_mulike_0decaye              2.00      2.50      0.45      0.64
